Time_ps,V1_mag,V2_mag,V1_x,V1_y,V1_z,V2_x,V2_y,V2_z,R_distance
3.003,4.975817715569646,4.5968793704120685,-4.6704792523,-1.5227778573,-0.79153843225,-0.23421520189,-4.3953214335,1.3257423134,26.407199261191046
3.004,4.9723302376742655,4.591229859112055,-4.6656890994,-1.5229440638,-0.79753031213,-0.2335295662,-4.3874735365,1.3322655619,26.41005693039801
3.005,4.968861400510111,4.585604640484265,-4.6609017429,-1.5231106065,-0.80356246856,-0.23285585855,-4.3796322306,1.3387940815,26.412926707510913
3.006,4.965414136979772,4.580014461889163,-4.6561140572,-1.5232914966,-0.80964341191,-0.23217089327,-4.3718103273,1.345326581,26.415808653921168
3.007,4.961988123650365,4.574474353475717,-4.6513243622,-1.5234989073,-0.81575664037,-0.23148938587,-4.3640328678,1.3518303901,26.4187027826349
3.008,4.958580305413653,4.568960096051258,-4.6465311369,-1.5237304847,-0.82189564365,-0.23080233037,-4.3562623448,1.3583464311,26.42160910947552
3.009,4.955190209262754,4.563484585122834,-4.6417351883,-1.5239830291,-0.82805807688,-0.23011626872,-4.3485194704,1.3648503497,26.424527654728063
3.01,4.951812346322085,4.558050881072075,-4.6369288062,-1.5242608836,-0.83424547835,-0.22943751325,-4.3408129336,1.371323936,26.427458419045543
3.011,4.948444905619528,4.552638296016069,-4.6321043673,-1.5245753413,-0.84046781205,-0.22875652328,-4.3331136576,1.3777924146,26.43040139121191
3.012,4.9450784955124,4.547251948112094,-4.6272543024,-1.5249197365,-0.8467223541,-0.22807739106,-4.3254241076,1.3842641629,26.43335661144518
3.013,4.9417269656693295,4.5419178005865275,-4.622398459,-1.525286655,-0.85299385082,-0.2273998636,-4.3177862693,1.3906934752,26.43632407216857
3.014,4.938418784655717,4.536634931894565,-4.6175663836,-1.5256863807,-0.85926820809,-0.2267363127,-4.310194914,1.3970923209,26.43930373841819
3.015,4.935145820064807,4.531399878761827,-4.612745669,-1.5261167433,-0.8655687981,-0.22608754066,-4.3026397689,1.4034814941,26.442295602680353
3.016,4.931897832486791,4.526192954430027,-4.6079271915,-1.5265745756,-0.87189064283,-0.22545216742,-4.295108792,1.4098349002,26.44529966405915
3.017,4.928661701562136,4.521010626686156,-4.603094364,-1.5270682473,-0.87823175338,-0.22483447343,-4.2875911842,1.4161738535,26.448315899902166
3.018,4.925426333989819,4.515872849400989,-4.5982387524,-1.5275732031,-0.88461576781,-0.22421944172,-4.2801113257,1.4224908694,26.45134432243421
3.019,4.922241361437557,4.510767587291566,-4.5934167115,-1.5281012399,-0.89100478976,-0.22361675891,-4.2726542919,1.4287914731,26.454384931378268
3.02,4.919082950914819,4.505682430550686,-4.5885939966,-1.5286660329,-0.89741984166,-0.2230385908,-4.2652071371,1.4350735276,26.45743771381852
