v_mps,signal_296,signal_297
507.24,4.14950321791616,4.58006386115539
512.876,4.08815580762492,4.6386867800244
518.512,4.26745925991988,4.94265829282149
524.148,4.62823585649911,5.33900425625177
529.784,4.74218318720773,5.39463764460645
535.42,4.64169313656766,4.98092172417853
541.056,4.572728629579,4.30397708632429
546.692,4.45204322995865,3.84931129133925
552.328,4.23843398169541,3.6283953227919
557.964,3.7859554949052,3.58241963886442
563.6,3.66116094211303,3.66287121222398
569.236,3.81287993279837,3.78510149807532
574.872,4.22040384150057,3.75072405284559
580.508,4.24397311989237,3.5357930289105
586.144,4.03560498239249,3.77297128098783
591.78,3.84720732238397,4.20369492049324
597.416,3.86230685202837,4.5448831586196
603.052,3.88500901835766,4.40573430358361
608.688,3.64813169254386,3.89809285722752
614.324,3.26202058605374,3.37219080876487
619.96,2.91055339352793,3.13357982635169
625.596,2.7956898479919,2.82903623065078
631.232,2.7575110122675,2.65139795019602
636.868,2.72634122649389,2.67573207349375
642.504,2.92732865939806,2.93749981616829
648.14,3.1643512220109,2.99264654203104
653.776,3.33672148009533,2.81557495224696
659.412,3.21727763677206,2.65867431817998
665.048,3.04117683430558,2.65597807406373
670.684,2.90156856541345,2.93923324992865
676.32,2.87247330150299,3.283077981883
681.956,3.13141867312552,3.381956371069
687.592,3.18061274996308,2.88399924986399
693.228,2.81406010944613,2.12256025968823
698.864,2.07322405828295,1.50838606165448
704.5,1.893513767056,1.46377240925382
710.136,2.28664799734921,1.91796444471614
715.772,2.67836643395099,2.41153944765402
721.408,2.97403650459014,2.73191007569966
727.044,3.04421272859116,2.69793974558739
732.68,2.96819159188678,2.46175829993459
738.316,2.83143254622653,2.22053612773422
743.952,2.33911491096139,2.09270968240033
749.588,1.57642357546372,2.096088687411
755.224,1.08869857301765,2.25763149784282
760.86,1.10302040485526,2.5693000822681
766.496,1.62946974250211,2.757553120737
772.132,1.70904305637638,2.71546051924308
777.768,1.53648963948492,2.3381647372973
783.404,1.49562913409679,1.62124528316474
789.04,1.6356078142089,1.0736834139225
794.676,1.70785423432203,0.960418154409331
800.312,1.73185388769834,0.870979185429139
805.948,1.85754514844066,0.945964713882132
811.584,2.03735377279612,1.31147881481443
817.22,2.1331342671092,1.59216444313251
