ladder,v_c,tau_ps,E0_eV,m,n,weight,mean_KE_eV
rq4graded,6.75,3.2,0.27,6000,15,0.0111,0.0686
rq4graded,6.75,3.2,0.27,6000,16,0.006,0.0546
rq4graded,6.75,3.2,0.27,6000,17,0.005,0.0501
rq4graded,6.75,3.2,0.27,6000,18,0.0031,0.0368
floor1,6.75,3.8,0.23,6000,0,0.1102,1.4745
floor1,6.75,3.8,0.23,6000,1,0.1977,1.2545
floor1,6.75,3.8,0.23,6000,2,0.1139,1.0522
floor1,6.75,3.8,0.23,6000,3,0.0967,0.9085
floor1,6.75,3.8,0.23,6000,4,0.0838,0.773
floor1,6.75,3.8,0.23,6000,5,0.0725,0.6333
floor1,6.75,3.8,0.23,6000,6,0.0631,0.4936
floor1,6.75,3.8,0.23,6000,7,0.0511,0.3889
floor1,6.75,3.8,0.23,6000,8,0.0448,0.2898
floor1,6.75,3.8,0.23,6000,9,0.0343,0.2223
floor1,6.75,3.8,0.23,6000,10,0.0314,0.1739
floor1,6.75,3.8,0.23,6000,11,0.0258,0.1318
floor1,6.75,3.8,0.23,6000,12,0.0244,0.109
floor1,6.75,3.8,0.23,6000,13,0.0167,0.0913
floor1,6.75,3.8,0.23,6000,14,0.0136,0.0718
floor1,6.75,3.8,0.23,6000,15,0.0077,0.0611
floor1,6.75,3.8,0.23,6000,16,0.0056,0.0534
floor1,6.75,3.8,0.23,6000,17,0.0038,0.0414
floor1,6.75,3.8,0.23,6000,18,0.0021,0.0225
rq4graded,6.75,3.8,0.23,6000,1,0.2426,1.3989
rq4graded,6.75,3.8,0.23,6000,2,0.1707,1.107
rq4graded,6.75,3.8,0.23,6000,3,0.1227,0.8983
rq4graded,6.75,3.8,0.23,6000,4,0.0783,0.7403
rq4graded,6.75,3.8,0.23,6000,5,0.0692,0.6145
rq4graded,6.75,3.8,0.23,6000,6,0.0608,0.478
rq4graded,6.75,3.8,0.23,6000,7,0.0489,0.3808
rq4graded,6.75,3.8,0.23,6000,8,0.043,0.2854
rq4graded,6.75,3.8,0.23,6000,9,0.0337,0.221
rq4graded,6.75,3.8,0.23,6000,10,0.0306,0.1721
rq4graded,6.75,3.8,0.23,6000,11,0.0255,0.1311
rq4graded,6.75,3.8,0.23,6000,12,0.0237,0.1083
rq4graded,6.75,3.8,0.23,6000,13,0.0164,0.0918
rq4graded,6.75,3.8,0.23,6000,14,0.0136,0.0714
rq4graded,6.75,3.8,0.23,6000,15,0.0074,0.0618
rq4graded,6.75,3.8,0.23,6000,16,0.0057,0.0529
rq4graded,6.75,3.8,0.23,6000,17,0.0036,0.0418
rq4graded,6.75,3.8,0.23,6000,18,0.0021,0.0225
floor1,6.75,3.8,0.25,6000,0,0.2916,1.3212
floor1,6.75,3.8,0.25,6000,1,0.1539,1.0197
floor1,6.75,3.8,0.25,6000,2,0.0909,0.851
floor1,6.75,3.8,0.25,6000,3,0.0767,0.7265
floor1,6.75,3.8,0.25,6000,4,0.0657,0.6006
floor1,6.75,3.8,0.25,6000,5,0.0596,0.4733
floor1,6.75,3.8,0.25,6000,6,0.0486,0.3721
floor1,6.75,3.8,0.25,6000,7,0.0398,0.2899
floor1,6.75,3.8,0.25,6000,8,0.0342,0.2187
floor1,6.75,3.8,0.25,6000,9,0.0286,0.1818
floor1,6.75,3.8,0.25,6000,10,0.0271,0.1419
floor1,6.75,3.8,0.25,6000,11,0.0226,0.1068
floor1,6.75,3.8,0.25,6000,12,0.0192,0.0969
floor1,6.75,3.8,0.25,6000,13,0.0138,0.0766
floor1,6.75,3.8,0.25,6000,14,0.0113,0.0631
floor1,6.75,3.8,0.25,6000,15,0.0062,0.0525
floor1,6.75,3.8,0.25,6000,16,0.0049,0.0464
floor1,6.75,3.8,0.25,6000,17,0.0028,0.0387
floor1,6.75,3.8,0.25,6000,18,0.0019,0.0199
rq4graded,6.75,3.8,0.25,6000,0,0.1367,1.4482
rq4graded,6.75,3.8,0.25,6000,1,0.2538,1.1736
rq4graded,6.75,3.8,0.25,6000,2,0.1376,0.9026
rq4graded,6.75,3.8,0.25,6000,3,0.0983,0.7193
rq4graded,6.75,3.8,0.25,6000,4,0.0615,0.5792
rq4graded,6.75,3.8,0.25,6000,5,0.0574,0.4586
rq4graded,6.75,3.8,0.25,6000,6,0.0452,0.3655
rq4graded,6.75,3.8,0.25,6000,7,0.0404,0.2808
rq4graded,6.75,3.8,0.25,6000,8,0.0324,0.2196
rq4graded,6.75,3.8,0.25,6000,9,0.0283,0.1781
rq4graded,6.75,3.8,0.25,6000,10,0.0258,0.1424
