leg,ladder,v_c,p_tail,E_bind_tag,E_bind_eV,ebind_exception,tau_ps,tau_flag,E0_eV,m,det_yield,trapped_frac,suppressed_frac,nbar_det,pred_md_nbar,n1_solv,w1_solv,midhot_geo,deepke,n1_ke_eV,S_measured,S_provisional,gate_n1,gate_nbar,gate,pareto
g4scan,rq4graded,5.25,-1.0,eb0482,0.0482,1,4.8,0,0.36,20000,0.9945,0.0055,0.1143,4.579,4.069,0.2133,0.4065,1.6405,1.3968,0.8272,23.4802,6.6446,1,1,1,0
g4scan,rq4graded,5.75,-1.0,eb0482,0.0482,1,6.4,0,0.33,20000,0.9818,0.0182,0.1647,4.572,4.064,0.248,0.5865,0.6128,0.6705,0.5247,23.5465,7.3913,1,1,1,0
g4scan,rq4graded,5.25,-1.0,eb1168,0.11675778353879479,0,4.0,0,0.415,20000,0.9732,0.0268,0.1574,4.688,4.153,0.1931,0.695,1.6268,1.4748,0.7684,23.5904,7.4786,1,1,1,0
g4scan,rq4graded,5.75,-1.0,eb0482,0.0482,1,5.2,0,0.39,20000,0.9818,0.0182,0.2616,4.731,4.185,0.2166,1.5189,0.6332,0.8236,0.4635,23.647,7.3181,1,1,1,0
g4scan,rq4graded,5.25,-1.0,eb0482,0.0482,1,5.2,0,0.335,20000,0.9945,0.0055,0.0685,4.645,4.12,0.2058,0.4548,1.6445,1.2775,0.8581,23.6748,6.108,1,1,1,0
g4scan,rq4graded,5.75,-1.0,eb0482,0.0482,1,4.8,0,0.42,20000,0.9818,0.0182,0.293,4.811,4.246,0.2032,1.9169,0.6416,0.8861,0.4441,23.7325,7.3983,1,1,1,0
g4scan,rq4graded,5.25,-1.0,eb1168,0.11675778353879479,0,4.4,0,0.375,20000,0.9732,0.0268,0.0984,4.778,4.221,0.1914,0.6015,1.6418,1.3002,0.8039,23.8534,6.4796,1,1,1,0
g4scan,rq4graded,5.75,-1.0,eb1168,0.11675778353879479,0,6.0,0,0.335,20000,0.9113,0.0887,0.1387,4.185,3.769,0.2416,0.4393,0.6045,0.4568,0.5199,23.9208,9.9761,1,1,1,0
g4scan,rq4graded,5.75,-1.0,eb154,0.154,1,5.2,0,0.37,20000,0.8749,0.1251,0.1852,4.063,3.676,0.2289,0.5981,0.6071,0.5005,0.4779,23.9968,9.5705,1,1,1,0
g4scan,rq4graded,5.25,-1.0,eb0482,0.0482,1,4.4,0,0.39,20000,0.9945,0.0055,0.1613,4.572,4.064,0.2092,0.5629,1.6513,1.5571,0.8006,24.0501,7.7429,1,1,1,0
g4scan,rq4graded,5.75,-1.0,eb1168,0.11675778353879479,0,5.6,0,0.355,20000,0.9113,0.0887,0.1817,4.17,3.757,0.237,0.4797,0.6033,0.4953,0.4915,24.0845,9.484,1,1,1,0
g4scan,rq4graded,5.75,-1.0,eb1168,0.11675778353879479,0,6.8,1,0.305,20000,0.9113,0.0887,0.0681,4.21,3.788,0.2399,0.589,0.6023,0.4153,0.5726,24.3463,10.9464,1,1,1,0
